timestamp,text,platform
1900-04-19 00:53:22,totes playing on my new ds ,twitter
1900-04-19 03:18:49,@AlyRMichalka How do you get ur hair wavy?please reply it looks so pretty ,twitter
1900-04-19 23:37:48,@miishh heyyy whores!!  imy2!! man im still tryna figure this shit out!!,twitter
1900-04-20 03:12:17,"@wailinglist Yes, I like Little Dorrit a lot, too-- though I keep falling asleep before the end -- ",twitter
1900-04-20 03:38:54,@LittleMsLaLa Thank you  I hope you get some nice rest at the countryside and we'll get to see some nice pictures from your excursion?,twitter
1900-04-20 04:19:09,"It's Monday morning; time to start another week of work, and such.  Have a good one everybody!! ",twitter
1900-04-21 04:14:22,getting annoyed with wordpress... I'm using firefox but when people try to read in IE it looks retarded. Battling ,twitter
1900-05-02 01:51:44,@IAmTam ha ha! I am the same way! My Anoop fan friends call me a vampire cause I stay up all night and sleep half the day! ,twitter
1900-05-02 01:56:04,@viviansessoms @snappcapp  i got a call from london yesterday.  sounds amazing!!  keep rockin' and have fun tonight again!,twitter
1900-05-02 03:36:59,loving 'love story' by taylor swift... im practically swooning... ,twitter
1900-05-03 03:11:02,"Another day of household drudgery ahead. Carpet cleaning, washing, ironing, tidying. Aftermath of painting.Feel like Cinderella ",twitter
1900-05-03 03:17:28,"@redcherryxoxo yes I'm pretty sure they are, there ob hollyoaks too, I'm recording it ",twitter
1900-05-03 08:45:13,@UlrikaE  wow  poor david didn't even get there in time,twitter
1900-05-03 16:43:55,@TiffanyGiardina i wish i went i would of loved to c u live ,twitter
1900-05-03 18:36:21,"@MissMonaMarvel Yepyep, really ",twitter
1900-05-03 22:11:47,@DarrenRoberts to put a tune to....but i know I can do it! Just gotta keep trying! ,twitter
1900-05-04 06:33:59,"New pic.... Twitter is finally letting me change my pic.  For those that missed it, Fannish Inquisition is now @Fannish please follow ",twitter
1900-05-10 08:44:17,@MirandaBuzz Thanks! You're reply made my day! ,twitter
1900-05-10 19:31:04,@TwitItCherish I don't know if she likes the lime light ,twitter
1900-05-11 23:13:47,is happy to see @nextlevelent  ...missed ya punkin ,twitter
1900-05-13 21:48:01,"@MOJOmindboxxx ahahahah.. u stoopid. IM.......COMMINN.... OUT(puffy, faith evans) lol nah but im comin back when i find 1   damn rent!",twitter
1900-05-13 22:09:42,Yard = Raked. Flowers &amp; Rhubarb = Planted. Garden = Tilled. Rain = Labor-free Watering  Tomorrow = Plant Vegetables?,twitter
1900-05-14 02:07:03,"@debparky nice, i think i prefer the Pinarello ",twitter
1900-05-16 22:28:18,@Miss_Fay ,twitter
